Name,Price,Model Year,Mileage,Engine Type,Transmission,Registered City,Color,Assembly,Body Type,Capacity
Toyota Corolla Altis Automatic 1.6 2015,3000000.0,2015,131686,Petrol,Automatic,Karachi,Silver,Local,Sedan,1600 cc
Suzuki Cultus VXR 2003,520000.0,2003,39261,Petrol,Manual,Karachi,White,Local,Hatchback,1000 cc
Suzuki Cultus Auto Gear Shift 2021,2750000.0,2021,20622,Petrol,Automatic,Karachi,Assembly,Local,Hatchback,1000 cc
Suzuki Cultus VXRi 2008,780000.0,2008,17211,Petrol,Manual,Karachi,Maroon,Local,Hatchback,1000 cc
Suzuki Cultus VXR 2005,700000.0,2005,136000,Petrol,Manual,Lahore,Silver,Local,Hatchback,1000 cc
Honda City 1.5 i-VTEC Prosmatec 2020,3375000.0,2020,12000,Petrol,Automatic,Lahore,Silver,Local,Sedan,1500 cc
Toyota Passo X G Package 2014,2400000.0,2014,88000,Petrol,Automatic,Sindh,Black,Imported,Hatchback,1000 cc
Toyota Prado TZ 3.0D 1996,3450000.0,1996,315000,Diesel,Automatic,Sindh,Silver,Imported,SUV,3000 cc
Suzuki Mehran VXR 2007,420000.0,2007,10999,Petrol,Manual,Karachi,White,Local,Hatchback,800 cc
Honda N Wgn G 2017,2680000.0,2017,28000,Petrol,Automatic,Un-Registered,Silver,Imported,Hatchback,660 cc
Suzuki Mehran VXR 1991,330000.0,1991,100000,Petrol,Manual,Karachi,White,Local,Hatchback,800 cc
Honda HR-V VTi-S 2022,6500000.0,2022,1,Petrol,Automatic,Multan,White,Local,Crossover,1500 cc
Suzuki Wagon R VXL 2017,1725000.0,2017,76500,Petrol,Manual,Lahore,White,Local,Hatchback,1000 cc
Toyota Corolla Altis 1.8 2018,3350000.0,2018,98000,Petrol,Manual,Punjab,White,Local,Sedan,1800 cc
Suzuki Cultus Limited Edition 2017,1399000.0,2017,56000,Petrol,Manual,Lahore,White,Local,Hatchback,1000 cc
Toyota ISIS 2007,2475000.0,2007,125000,Petrol,Automatic,Karachi,White,Imported,,1800 cc
Toyota Aqua S 2018,6100000.0,2018,60000,Hybrid,Automatic,Sindh,Grey,Imported,Hatchback,1500 cc
Daihatsu Move X 2014,1850000.0,2014,98000,Petrol,Automatic,Islamabad,Silver,Imported,Hatchback,660 cc
Suzuki Wagon R VXL 2019,1900000.0,2019,67000,Petrol,Manual,Punjab,Silver,Local,Hatchback,1000 cc
Suzuki Khyber GA 1997,350000.0,1997,1000,Petrol,Manual,Karachi,White,Local,Hatchback,1000 cc
Toyota Hilux Revo V Automatic 2.8 2021,10000000.0,2021,4000,Diesel,Automatic,Sindh,White,Local,Double Cabin,2800 cc
Audi A6 1.8 TFSI Business Class Edition 2016,12800000.0,2016,12000,Petrol,Automatic,Karachi,Blue,Imported,Sedan,1800 cc
Suzuki Wagon R Hybrid FZ 2019,3495000.0000000005,2019,66979,Hybrid,Automatic,Un-Registered,White,Imported,Hatchback,660 cc
Suzuki Swift GLX CVT 2022,3900000.0,2022,6600,Petrol,Automatic,Islamabad,White,Local,Hatchback,1200 cc
Suzuki Wagon R Hybrid FZ 2019,3495000.0000000005,2019,17583,Hybrid,Automatic,Un-Registered,Gold,Imported,Hatchback,660 cc
Toyota Prado TX L Package 2.7 2017,28500000.0,2017,12000,Petrol,Automatic,Un-Registered,White,Imported,SUV,2700 cc
BAIC BJ40 Plus Honorable Edition 2022,8200000.0,2022,15000,Petrol,Automatic,Un-Registered,White,Local,SUV,2000 cc
Daihatsu Mira X SA 2019,3450000.0,2019,58832,Petrol,Automatic,Un-Registered,Silver,Imported,Hatchback,660 cc
Honda City i-DSI Vario 2003,1425000.0,2003,140000,Petrol,Automatic,Islamabad,White,Local,Sedan,1300 cc
KIA Picanto 1.0 AT 2021,2625000.0,2021,54561,Petrol,Automatic,Karachi,Blue,Local,Hatchback,1000 cc
KIA Picanto 1.0 AT 2020,2600000.0,2020,16519,Petrol,Automatic,Karachi,White,Local,Hatchback,1000 cc
Daihatsu Cuore 2008,725000.0,2008,86810,Petrol,Manual,Karachi,Grey,Local,,800 cc
Daihatsu Rocky Premium 2019,4695000.0,2019,24000,Petrol,Automatic,Un-Registered,Red,Imported,Crossover,1000 cc
KIA Picanto 1.0 AT 2021,2700000.0,2021,18811,Petrol,Automatic,Karachi,Assembly,Local,Hatchback,1000 cc
Honda Civic Oriel 1.8 i-VTEC CVT 2018,3990000.0,2018,96000,Petrol,Automatic,Islamabad,White,Local,Sedan,1800 cc
Honda Vezel Hybrid RS Honda Sensing  2017,7800000.0,2017,41000,Petrol,Automatic,Un-Registered,White,Imported,Crossover,1500 cc
Suzuki Mehran VX Euro II 2015,875000.0,2015,75000,Petrol,Manual,Faisalabad,Grey,Local,Hatchback,796 cc
Honda Vezel e-HEV X 2022,9650000.0,2022,9000,Hybrid,Automatic,Sindh,Black,Imported,Crossover,1500 cc
Toyota Yaris ATIV MT 1.3 2021,3525000.0,2021,29000,Petrol,Manual,Punjab,Silver,Local,Sedan,1300 cc
Suzuki Cultus VXR 2018,1900000.0,2018,54146,Petrol,Manual,Lahore,Bronze,Local,Hatchback,1000 cc
Suzuki Swift DLX 1.3 Navigation  2016,1620000.0,2016,102421,Petrol,Manual,Lahore,White,Local,Hatchback,1300 cc
Honda BR-V i-VTEC S 2020,4200000.0,2020,50000,Petrol,Automatic,Islamabad,Silver,Local,MPV,1500 cc
Suzuki Cultus VXR 2007,790000.0,2007,72235,Petrol,Manual,Lahore,White,Local,Hatchback,1000 cc
Dodge Other 2010,350000.0,2010,250000,Petrol,Automatic,Sindh,Blue,Imported,,1000 cc
Honda City EXi S 2002,1300000.0,2002,115000,Petrol,Manual,Rahim Yar Khan,Silver,Local,Sedan,1500 cc
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,6050000.0,2022,402,Petrol,Automatic,Sindh,Black,Local,Sedan,1800 cc
Toyota Corolla Altis Automatic 1.6 2022,5450000.0,2022,18,Petrol,Automatic,Un-Registered,White,Local,Sedan,1600 cc
Honda BR-V i-VTEC MT 2017,3500000.0,2017,109000,Petrol,Manual,Punjab,Silver,Local,MPV,1500 cc
Toyota Corolla Altis Automatic 1.6 2019,3945000.0000000005,2019,30000,Petrol,Automatic,Lahore,White,Local,Sedan,1600 cc
Daihatsu Cuore CX 2010,720000.0,2010,100000,Petrol,Manual,Sindh,Silver,Local,Hatchback,800 cc
Honda City 1.3 i-VTEC 2016,2550000.0,2016,105800,Petrol,Manual,Islamabad,Silver,Local,Sedan,1300 cc
Toyota Passo 2012,2130000.0,2012,79696,Petrol,Automatic,Adda jahan khan,Black,Imported,,1300 cc
Suzuki Cultus Limited Edition 2017,1480000.0,2017,76287,Petrol,Manual,Lahore,Assembly,Local,Hatchback,1000 cc
MG HS 1.5 Turbo 2021,6000000.0,2021,33826,Petrol,Automatic,Un-Registered,Assembly,Local,SUV,1500 cc
Suzuki Cultus EURO II 2013,1300000.0,2013,53322,Petrol,Manual,Lahore,Silver,Local,Hatchback,1000 cc
Changan Karvaan Plus 2022,2500000.0,2022,1312,Petrol,Manual,Islamabad,White,Local,Mini Van,1000 cc
Toyota Corolla Altis X Automatic 1.6 Special Edition 2022,5577000.0,2022,29,Petrol,Automatic,Un-Registered,Black,Local,Sedan,1600 cc
Honda City 1.3 i-VTEC Prosmatec 2019,3050000.0,2019,76957,Petrol,Automatic,Lahore,White,Imported,Sedan,1300 cc
Daihatsu Cuore CL Eco 2004,800000.0,2004,155960,Petrol,Manual,Lahore,Silver,Local,Hatchback,800 cc
SsangYong Stavic SV 270 2005,2200000.0,2005,83975,Diesel,Manual,Lahore,White,Imported,Mini Van,2700 cc
KIA Sorento 2.4 FWD 2022,8200000.0,2022,21262,Petrol,Automatic,Islamabad,Black,Local,Compact SUV,2400 cc
Toyota Corolla GLi 1.3 VVTi 2013,2400000.0,2013,70000,Petrol,Manual,Lahore,Silver,Local,Sedan,1300 cc
Nissan Sylphy 2007,1885000.0000000002,2007,105000,Petrol,Automatic,Lahore,Blue,Imported,,1500 cc
Changan Alsvin 1.5L DCT Lumiere 2021,3350000.0,2021,15313,Petrol,Automatic,Lahore,White,Local,Sedan,1500 cc
Toyota Land Cruiser VX Limited 4.2D 1992,2450000.0,1992,126000,Diesel,Automatic,Rawalpindi,Beige,Imported,SUV,4200 cc
Toyota Corolla XLi 2007,1120000.0,2007,150000,Petrol,Manual,Karachi,White,Local,Sedan,1300 cc
Honda City i-DSI 2005,1110000.0,2005,100000,Petrol,Manual,Karachi,Assembly,Local,Sedan,1300 cc
Toyota Estima X 1996,1900000.0,1996,81000,Diesel,Automatic,Karachi,Silver,Imported,Van,2200 cc
Suzuki Alto S Package 2016,2350000.0,2016,70000,Petrol,Automatic,Islamabad,Brown,Imported,Hatchback,660 cc
Toyota Corolla XLi 2006,1650000.0,2006,90000,Petrol,Manual,Islamabad,Black,Local,Sedan,1300 cc
Suzuki Alto L 2015,2175000.0,2015,96407,Petrol,Automatic,Karachi,Silver,Imported,Hatchback,660 cc
Suzuki Alto VXL AGS 2022,2480000.0,2022,47,Petrol,Automatic,Un-Registered,White,Local,Hatchback,660 cc
Suzuki Alto VX 2022,1980000.0,2022,48,Petrol,Manual,Un-Registered,Grey,Local,Hatchback,660 cc
Suzuki Cultus Limited Edition 2016,1250000.0,2016,70035,Petrol,Manual,Karachi,Assembly,Local,Hatchback,1000 cc
BMW 3 Series 318i 1997,2000000.0,1997,80194,Petrol,Automatic,Sindh,Blue,Imported,Sedan,1800 cc
Suzuki Alto VXL AGS 2022,2480000.0,2022,48,Petrol,Automatic,Un-Registered,Grey,Local,Hatchback,660 cc
Suzuki Cultus VXR 2019,2150000.0,2019,59131,Petrol,Manual,Karachi,Grey,Local,Hatchback,1000 cc
Toyota Fortuner 2.7 VVTi 2019,9700000.0,2019,86154,Petrol,Automatic,Lahore,White,Local,SUV,2700 cc
Honda Civic Oriel 2022,6990000.000000001,2022,12137,Petrol,Automatic,Islamabad,Assembly,Local,Sedan,1500 cc
Toyota Corolla 2.0D 2006,1390000.0,2006,358372,Diesel,Manual,Lahore,White,Local,Sedan,2000 cc
MG HS 1.5 Turbo 2021,6280000.0,2021,17658,Petrol,Automatic,Lahore,White,Local,SUV,1500 cc
Mercedes Benz CLA Class CLA180 2018,13000000.0,2018,52000,Petrol,Automatic,Islamabad,White,Imported,Sedan,1600 cc
Honda City 1.2L M/T 2022,3549000.0,2022,15040,Petrol,Manual,Lahore,Black,Local,Compact sedan,1200 cc
Hyundai Elantra GLS 2022,5425000.0,2022,1948,Petrol,Automatic,Karachi,Black,Local,Sedan,2000 cc
Honda Civic Oriel Prosmatec UG 2013,2700000.0,2013,311395,Petrol,Automatic,Karachi,Black,Local,Sedan,1800 cc
Honda Vezel Hybrid Z Honda Sensing  2016,5350000.0,2016,62439,Petrol,Automatic,Karachi,Gold,Imported,Crossover,1500 cc
Toyota Prius S Touring Selection 1.8 2010,3250000.0,2010,74457,Petrol,Automatic,Karachi,Grey,Imported,Sedan,1800 cc
Daihatsu Cuore CX Automatic 2006,800000.0,2006,103963,Petrol,Automatic,Karachi,Silver,Local,Hatchback,800 cc
Daihatsu Cuore 2005,800000.0,2005,100000,Petrol,Manual,Mirpur A.K.,White,Local,,800 cc
Honda Civic RS 2022,7950000.0,2022,2900,Petrol,Automatic,Punjab,Black,Local,Sedan,1500 cc
Daihatsu Mira L 2018,2790000.0,2018,41000,Petrol,Automatic,Karachi,Black,Imported,Hatchback,660 cc
Honda Civic VTi Oriel 1.6 2000,1350000.0,2000,70000,Petrol,Manual,Islamabad,Silver,Local,Sedan,1600 cc
Suzuki Alto VXR 2008,720000.0,2008,225000,Petrol,Manual,Gujranwala,Green,Local,Hatchback,1000 cc
Toyota Corolla Altis SR Cruisetronic 1.8 2011,2240000.0,2011,84000,Petrol,Automatic,Karachi,Silver,Local,Sedan,1800 cc
Suzuki Alto VXR (CNG) 2009,775000.0,2009,100000,Petrol,Manual,Lahore,Silver,Local,Hatchback,1000 cc
Suzuki Mehran VXR 2001,400000.0,2001,99544,Petrol,Manual,Karachi,Grey,Local,Hatchback,800 cc
Toyota Prado TX 3.0D 1997,4000000.0,1997,200000,Diesel,Automatic,Lahore,Grey,Imported,SUV,3000 cc
Toyota C-HR S 2017,5685000.0,2017,123567,Hybrid,Automatic,Islamabad,White,Imported,Crossover,1800 cc
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2013,2415000.0,2013,101450,Petrol,Automatic,Sindh,White,Local,Sedan,1800 cc
Toyota Corolla GLi Automatic 1.3 VVTi 2017,2785000.0,2017,57000,Petrol,Automatic,Sindh,White,Local,Sedan,1300 cc
Suzuki Wagon R VXL 2017,1600000.0,2017,126000,Petrol,Manual,Karachi,Grey,Local,Hatchback,1000 cc
Suzuki Cultus VXRi 2008,1025000.0,2008,230000,Petrol,Manual,Punjab,White,Local,Hatchback,1000 cc
Toyota Aqua S 2018,4650000.0,2018,46000,Hybrid,Automatic,Punjab,Silver,Imported,Hatchback,1500 cc
Suzuki Alto VXR 2012,950000.0,2012,100000,Petrol,Manual,Karachi,Green,Local,Hatchback,1000 cc
Suzuki Cultus VXL 2022,3024000.0,2022,1,Petrol,Manual,Un-Registered,White,Local,Hatchback,1000 cc
Toyota Corolla XLi VVTi 2009,1380000.0,2009,157000,Petrol,Manual,Lahore,Black,Local,Sedan,1300 cc
Toyota Corolla Altis Cruisetronic 1.6 2012,2200000.0,2012,159560,Petrol,Automatic,Karachi,Black,Local,Sedan,1600 cc
Toyota Corolla Altis Automatic 1.6 2015,2550000.0,2015,175597,Petrol,Automatic,Karachi,Black,Local,Sedan,1600 cc
Suzuki Cultus Euro II (CNG) 2013,1100000.0,2013,45790,Petrol,Manual,Karachi,White,Local,Hatchback,1000 cc
Suzuki Cultus VXR 2007,770000.0,2007,70,Petrol,Manual,Lahore,Beige,Local,Hatchback,1000 cc
Toyota Corolla Altis Grande CVT-i 1.8 2018,4500000.0,2018,70000,Petrol,Automatic,Islamabad,White,Local,Sedan,1800 cc
Honda City 1.3 i-VTEC 2016,2495000.0,2016,61000,Petrol,Manual,Lahore,Red,Local,Sedan,1300 cc
Suzuki Cultus Auto Gear Shift 2021,2900000.0,2021,18127,Petrol,Automatic,Karachi,White,Local,Hatchback,1000 cc
Toyota Camry G 1997,925000.0,1997,170000,Petrol,Automatic,Karachi,White,Imported,Sedan,2000 cc
Toyota Corolla XLi 2007,1480000.0,2007,150000,Petrol,Manual,Karachi,Black,Local,Sedan,1300 cc
Nissan Wingroad 15M Authentic 2013,1600000.0,2013,165000,Petrol,Automatic,Karachi,Silver,Imported,Station Wagon,1500 cc
Honda Vezel Hybrid RS Honda Sensing  2017,6950000.0,2017,48652,Petrol,Automatic,Un-Registered,White,Imported,Crossover,1500 cc
MG HS 1.5 Turbo 2021,6300000.0,2021,2500,Petrol,Automatic,Lahore,White,Imported,SUV,1500 cc
FAW X-PV Dual AC 2016,980000.0000000001,2016,50000,Petrol,Manual,Peshawar,Grey,Imported,Mini Van,1000 cc
Mitsubishi Pajero Exceed Automatic 2.8D 1995,3225000.0,1995,98000,Diesel,Automatic,Lahore,Green,Imported,SUV,2800 cc
Suzuki Cultus VXRi 2008,850000.0,2008,50000,Petrol,Manual,Sindh,Grey,Local,Hatchback,1000 cc
Suzuki Alto VXR 2022,2125000.0,2022,4500,Petrol,Manual,Un-Registered,White,Local,Hatchback,660 cc
Suzuki Bolan VX Euro II 2015,780000.0,2015,79000,Petrol,Manual,Lahore,Green,Local,Van,800 cc
Suzuki Alto VXR 2020,1989999.9999999998,2020,14500,Petrol,Manual,Punjab,Grey,Local,Hatchback,660 cc
Honda City 1.2L M/T 2022,3750000.0,2022,24,Petrol,Manual,Un-Registered,White,Local,Compact sedan,1200 cc
Toyota Corolla Axio Hybrid 1.5 2017,5100000.0,2017,45000,Petrol,Automatic,Karachi,White,Imported,Sedan,1500 cc
MG HS 2021,6000000.0,2021,35000,Petrol,Automatic,Islamabad,Black,Imported,,1500 cc
Mazda Scrum 2010,1465000.0,2010,105000,Petrol,Automatic,Islamabad,Silver,Imported,,660 cc
Audi A6 1.8 TFSI Business Class Edition 2016,12000000.0,2016,70000,Petrol,Automatic,Punjab,Black,Imported,Sedan,1800 cc
Toyota Corolla Altis X Automatic 1.6 Special Edition 2022,5350000.0,2022,25,Petrol,Automatic,Un-Registered,White,Local,Sedan,1600 cc
Honda Civic VTi Prosmatec 1.8 i-VTEC 2014,2500000.0,2014,87583,Petrol,Automatic,Karachi,Brown,Local,Sedan,1800 cc
Honda City Aspire Prosmatec 1.5 i-VTEC 2018,2995000.0,2018,47000,Petrol,Automatic,Karachi,Grey,Local,Sedan,1500 cc
Daihatsu Mira L 2017,2495000.0,2017,50400,Petrol,Automatic,Sindh,White,Imported,Hatchback,660 cc
Toyota Yaris GLI MT 1.3 2021,3375000.0,2021,15601,Petrol,Manual,Lahore,Black,Local,Sedan,1300 cc
Toyota Yaris ATIV CVT 1.3 2021,3500000.0,2021,20750,Petrol,Automatic,Lahore,White,Local,Sedan,1300 cc
Honda City 1.3 i-VTEC 2017,2500000.0,2017,165000,Petrol,Manual,Lahore,White,Local,Sedan,1300 cc
Suzuki Khyber 1995,200000.0,1995,88598,Petrol,Manual,Un-Registered,White,Local,,1000 cc
Suzuki Wagon R VXL 2017,1770000.0,2017,70000,Petrol,Manual,Lahore,White,Local,Hatchback,1000 cc
Toyota Yaris GLI MT 1.3 2022,4300000.0,2022,1,Petrol,Manual,Un-Registered,White,Local,Sedan,1300 cc
Suzuki Mehran VXR 2010,725000.0,2010,27800,Petrol,Manual,Sindh,Grey,Local,Hatchback,800 cc
Toyota Corolla Altis Automatic 1.6 2018,3550000.0,2018,50000,Petrol,Automatic,Sindh,White,Local,Sedan,1600 cc
Suzuki Wagon R VXL 2020,2325000.0,2020,38000,Petrol,Manual,Abbottabad,Silver,Local,Hatchback,1000 cc
Suzuki Cultus VXL 2019,2550000.0,2019,73000,Petrol,Manual,Islamabad,White,Local,Hatchback,1000 cc
Honda City i-DSI 2005,1075000.0,2005,204000,Petrol,Manual,Karachi,Silver,Local,Sedan,1300 cc
KIA Sportage AWD 2021,7000000.0,2021,26000,Petrol,Automatic,Islamabad,White,Local,SUV,2000 cc
Honda Vezel Hybrid Z Honda Sensing  2014,3450000.0,2014,92000,Petrol,Automatic,Karachi,Grey,Imported,Crossover,1500 cc
Honda City 1.3 i-VTEC 2016,2450000.0,2016,127000,Petrol,Manual,Punjab,Silver,Local,Sedan,1300 cc
Haval Jolion Top 2021,7000000.0,2021,23000,Petrol,Automatic,Punjab,Grey,Imported,Crossover,1500 cc
Toyota Corolla GLi 1.3 VVTi 2011,2160000.0,2011,92000,Petrol,Manual,Islamabad,Black,Local,Sedan,1300 cc
Honda City 1.5 i-VTEC Prosmatec 2017,2550000.0,2017,113500,Petrol,Automatic,Islamabad,Grey,Local,Sedan,1500 cc
Toyota Surf SSR-G 3.0D 1996,3000000.0,1996,163880,Diesel,Automatic,Sindh,Red,Imported,SUV,3000 cc
Suzuki Bolan VX Euro II 2021,1580000.0,2021,12500,Petrol,Manual,Rawalpindi,White,Local,Van,800 cc
Toyota Corolla GLi 1.3 VVTi 2017,270000.0,2017,78000,Petrol,Manual,Karachi,Grey,Local,Sedan,1300 cc
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2012,2250000.0,2012,94000,Petrol,Automatic,Sindh,White,Local,Sedan,1800 cc
Suzuki Cultus VXRi 2010,800000.0,2010,100000,Petrol,Manual,Sindh,Grey,Local,Hatchback,1000 cc
Hyundai Elantra GL 2022,5300000.0,2022,1350,Petrol,Automatic,Sialkot,White,Imported,Sedan,1600 cc
Suzuki Mehran VXR 2006,565000.0,2006,100000,Petrol,Manual,Multan,White,Local,Hatchback,800 cc
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2010,1750000.0,2010,185000,Petrol,Automatic,Lahore,Black,Local,Sedan,1800 cc
Suzuki Alto 2014,1775000.0,2014,85000,Petrol,Automatic,Islamabad,Maroon,Imported,,660 cc
Suzuki Wagon R 2017,2325000.0,2017,75000,Petrol,Automatic,Islamabad,White,Imported,,660 cc
Toyota Land Cruiser ZX 2016,Call for price,2016,30000,Petrol,Automatic,Un-Registered,Assembly,Imported,SUV,4600 cc
Toyota Raize Z 2019,5700000.0,2019,21000,Petrol,Automatic,Un-Registered,Black,Imported,Crossover,1000 cc
Suzuki Alto X 2018,2525000.0,2018,95000,Petrol,Automatic,Islamabad,Red,Imported,Hatchback,660 cc
Toyota Passo X L Package S  2019,3825000.0,2019,39000,Petrol,Automatic,Un-Registered,Silver,Imported,Hatchback,1000 cc
Daihatsu Mira G SA III 2019,3525000.0,2019,8000,Petrol,Automatic,Un-Registered,Silver,Imported,Hatchback,660 cc
Toyota Vitz F 1.0 2020,4800000.0,2020,11000,Petrol,Automatic,Un-Registered,White,Imported,Hatchback,1000 cc
Toyota Corolla Altis CVT-i 1.8 2014,2795000.0,2014,96200,Petrol,Automatic,Karachi,Silver,Local,Sedan,1800 cc
Toyota Prado TZ G 4.0 2009,16000000.0,2009,71000,Petrol,Automatic,Sindh,White,Imported,SUV,4000 cc
Suzuki Wagon R VXL 2019,2150000.0,2019,37600,Petrol,Manual,Lahore,Grey,Local,Hatchback,1000 cc
Honda Civic Oriel 1.8 i-VTEC CVT 2021,5300000.0,2021,31500,Petrol,Automatic,Karachi,White,Local,Sedan,1800 cc
Suzuki Wagon R VXL 2019,2050000.0,2019,75533,Petrol,Manual,Lahore,White,Local,Hatchback,1000 cc
Toyota Corolla GLi 1.3 VVTi 2015,2750000.0,2015,150000,Petrol,Manual,Islamabad,White,Local,Sedan,1300 cc
Toyota Fortuner 2.8 Sigma 4 2022,13700000.000000002,2022,100,Diesel,Automatic,Un-Registered,Black,Local,SUV,2800 cc
Toyota Corolla Fielder Hybrid 2017,3929999.9999999995,2017,103000,Hybrid,Automatic,Islamabad,White,Imported,Station Wagon,1500 cc
MG HS 1.5 Turbo 2021,5950000.0,2021,25000,Petrol,Automatic,Un-Registered,White,Imported,SUV,1500 cc
Toyota Yaris ATIV X CVT 1.5 2021,3850000.0,2021,19837,Petrol,Automatic,Karachi,Silver,Local,Sedan,1500 cc
Suzuki Cultus VXR 2001,500000.0,2001,98257,Petrol,Manual,Karachi,Grey,Local,Hatchback,1000 cc
Suzuki Mehran VXR Euro II (CNG) 2012,730000.0,2012,51000,Petrol,Manual,Lahore,White,Local,Hatchback,800 cc
Toyota Premio X EX Package 1.8 2007,3750000.0,2007,150000,Petrol,Automatic,Islamabad,White,Imported,Sedan,1800 cc
Audi e-tron GT RS 2022,48500000.0,2022,50,,Automatic,Un-Registered,Grey,Imported,Sedan,
Honda City 1.3 i-VTEC Prosmatec 2018,2980000.0,2018,71000,Petrol,Automatic,Adda jahan khan,White,Local,Sedan,1300 cc
Toyota Corolla GLi 1.3 VVTi 2010,1600000.0,2010,364000,Petrol,Manual,Lahore,White,Local,Sedan,1300 cc
Toyota Corolla Altis Automatic 1.6 2022,4900000.0,2022,5850,Petrol,Automatic,Punjab,White,Local,Sedan,1600 cc
Toyota Corolla GLi 1.3 VVTi 2018,3375000.0,2018,78000,Petrol,Manual,Lahore,Silver,Local,Sedan,1300 cc
Suzuki Mehran VX 2008,570000.0,2008,1746,Petrol,Manual,Punjab,White,Local,Hatchback,800 cc
Toyota Prado TZ 4.0 1996,3400000.0,1996,150000,Diesel,Automatic,Sindh,Green,Imported,SUV,3400 cc
Toyota Corolla 2.0D 2005,1600000.0,2005,89000,Diesel,Manual,Lahore,White,Local,Sedan,2000 cc
Nissan Dayz Bolero S 2018,2350000.0,2018,42000,Petrol,Automatic,Lahore,Silver,Imported,Hatchback,660 cc
Suzuki Cultus VXL 2006,700000.0,2006,60500,Petrol,Manual,Faisalabad,White,Local,Hatchback,1000 cc
Suzuki Alto VXR 2020,1850000.0,2020,29121,Petrol,Manual,Sindh,White,Local,Hatchback,660 cc
Honda City i-DSI 2007,1350000.0,2007,117000,Petrol,Manual,Lahore,Grey,Local,Sedan,1300 cc
Suzuki Wagon R Stingray J Style 2014,1850000.0,2014,62000,Petrol,Automatic,Sindh,White,Local,Hatchback,660 cc
Toyota Passo X S  2018,2980000.0,2018,37000,Petrol,Automatic,Karachi,Silver,Imported,Hatchback,1000 cc
DFSK Glory 580 Pro 2022,5200000.0,2022,31503,Petrol,Automatic,Lahore,White,Local,Crossover,1500 cc
Suzuki Cultus VXL 2019,2200000.0,2019,75017,Petrol,Manual,Lahore,Silver,Local,Hatchback,1000 cc
Suzuki Hustler X 2016,2300000.0,2016,82206,Petrol,Automatic,Lahore,Silver,Imported,Hatchback,660 cc
DFSK Glory 580 Pro 2021,5150000.0,2021,737,Petrol,Automatic,Un-Registered,Black,Local,Crossover,1500 cc
Audi A6 2.8 FSI Quattro 2013,12000000.0,2013,72370,Petrol,Automatic,Lahore,Black,Imported,Sedan,2800 cc
Honda City Aspire 1.5 i-VTEC 2018,2760000.0,2018,61896,Petrol,Manual,Lahore,Black,Local,Sedan,1500 cc
Suzuki Cultus VXR 2017,1275000.0,2017,67346,Petrol,Manual,Lahore,White,Local,Hatchback,1000 cc
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Call for price,2022,77,Petrol,Automatic,Un-Registered,White,Local,Sedan,1800 cc
Toyota Vitz F 1.0 2012,2100000.0,2012,126359,Petrol,Automatic,Lahore,Silver,Imported,Hatchback,1000 cc
KIA Sportage FWD 2021,6200000.0,2021,6362,Petrol,Automatic,Karachi,Silver,Local,SUV,2000 cc
Toyota Corolla GLi Automatic 1.6 VVTi 2011,2300000.0,2011,147911,Petrol,Automatic,Lahore,Silver,Local,Sedan,1600 cc
Suzuki Bolan VX 2010,595000.0,2010,2589,Petrol,Manual,Faisalabad,White,Local,Mini Van,800 cc
Toyota Aqua S 2018,5000000.0,2018,90526,Hybrid,Automatic,Karachi,White,Imported,Hatchback,1500 cc
Mazda Carol GL 2018,2750000.0,2018,14364,Petrol,Automatic,Un-Registered,White,Imported,Hatchback,660 cc
Daihatsu Move Custom X 2016,1580000.0,2016,150000,Petrol,Automatic,Lahore,Bronze,Imported,Hatchback,660 cc
Toyota Corolla GLi 1.3 VVTi 2018,2800000.0,2018,80000,Petrol,Manual,Islamabad,White,Local,Sedan,1300 cc
Toyota Fortuner Legender  2022,15600000.0,2022,35,Diesel,Automatic,Un-Registered,White,Local,SUV,2800 cc
Honda Civic 1.5 VTEC Turbo Oriel 2016,Call for price,2016,117000,Petrol,Automatic,Islamabad,Red,Local,Sedan,1500 cc
Honda HR-V VTi-S 2022,6500000.0,2022,7,Petrol,Automatic,Un-Registered,Black,Local,Crossover,1500 cc
Honda Civic EXi Prosmatec 2006,1500000.0,2006,151038,Petrol,Automatic,Lahore,Grey,Local,Sedan,1500 cc
Suzuki Wagon R VXL 2019,1689999.9999999998,2019,57813,Petrol,Manual,Lahore,White,Local,Hatchback,1000 cc
Toyota Fortuner Legender  2022,15600000.0,2022,25,Diesel,Automatic,Un-Registered,Black,Local,SUV,2800 cc
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,6100000.0,2022,25,Petrol,Automatic,Un-Registered,White,Local,Sedan,1800 cc
Toyota Passo X L Package S  2016,2850000.0,2016,76200,Petrol,Automatic,Lahore,Burgundy,Imported,Hatchback,1000 cc
Toyota Hilux Revo V Automatic 2.8 2021,9350000.0,2021,19000,Diesel,Automatic,Islamabad,White,Local,Double Cabin,2800 cc
Toyota Corolla Altis Automatic 1.6 2020,4100000.0,2020,45278,Petrol,Automatic,Lahore,White,Local,Sedan,1600 cc
Daihatsu Cuore CL Eco 2008,850000.0,2008,100792,Petrol,Manual,Lahore,Gold,Local,Hatchback,800 cc
